POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;30.12;12.5;são paulo;grêmio;17#20#2#1#5#1#1#1#0
MEI;Diego Souza;sport;29.88;0.2;fluminense;sport;9#11#0#0#2#3#3#2#0
MEI;Renato Cajá;pontepreta;29.85;9.3;santos;ponte preta;2#24#2#2#7#7#3#2#0
LAT;Zé Roberto;palmeiras;29.16;10.3;figueirense;palmeiras;8#9#2#0#4#3#1#0#0
GOL;Rogério Ceni;sãopaulo;27.15;8.7;são paulo;grêmio;0#5#0#0#0#0#1#0#0
ATA;Luan;atlético-mg;27.03;0.7;atlético-mg;cruzeiro;3#18#2#0#2#2#1#3#0
ATA;Fred;fluminense;26.92;8.6;fluminense;sport;15#8#1#0#6#3#3#1#0
ATA;Lucas Pratto;atlético-mg;24.17;12.2;atlético-mg;cruzeiro;2#9#1#2#6#5#1#1#0
MEI;Edson;fluminense;24.04;12.1;fluminense;sport;12#15#0#1#1#2#0#1#0
GOL;Weverton;atlético-pr;23.68;7.4;atlético-pr;vasco;6#5#0#0#0#0#0#0#0
LAT;Rodinei;pontepreta;23.33;9.8;santos;ponte preta;8#8#3#0#1#1#0#2#0
GOL;Renan;goiás;21.68;0.7;goiás;avaí;2#3#0#0#0#0#0#0#0
ATA;Leandro Damião;cruzeiro;20.85;1.6;atlético-mg;cruzeiro;4#4#0#0#1#3#0#0#0
GOL;Cássio;corinthians;20.46;-3.3;joinville;corinthians;0#5#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;20.01;8.8;atlético-pr;vasco;4#18#0#0#2#2#0#0#0
ZAG;Vitor Hugo;palmeiras;19.95;12.2;figueirense;palmeiras;5#6#0#0#2#2#2#0#0
ZAG;Jemerson;atlético-mg;19.55;3.8;atlético-mg;cruzeiro;2#2#0#0#1#1#2#0#0
ATA;Rafhael Lucas;coritiba;19.53;0.5;internacional;coritiba;5#7#0#0#4#3#1#3#0
GOL;Marcelo Lomba;pontepreta;19.48;14.7;santos;ponte preta;1#1#0#0#0#0#0#0#0
ZAG;Gil;corinthians;18.93;0.2;joinville;corinthians;
ATA;Walter;atlético-pr;18.84;6.8;atlético-pr;vasco;5#21#1#0#5#7#1#3#0
MEI;Giuliano;grêmio;17.55;22.7;são paulo;grêmio;3#11#2#0#2#2#2#0#0
ATA;Geuvânio;santos;17.5;3.8;santos;ponte preta;9#13#0#0#3#7#1#1#0
LAT;Natanael;atlético-pr;17.21;6.7;atlético-pr;vasco;3#15#0#0#0#2#0#0#0
ATA;Ricardo Oliveira;santos;17.16;10.9;santos;ponte preta;2#9#0#1#3#6#2#7#1
MEI;Souza;sãopaulo;17.14;4;são paulo;grêmio;4#4#0#0#1#2#0#1#0
ATA;Rafael Marques;palmeiras;16.78;2.4;figueirense;palmeiras;4#13#0#0#3#2#2#0#0
ATA;Yuri Mamute;grêmio;16.77;-4.5;são paulo;grêmio;14#16#0#0#2#3#2#4#0
ZAG;Gum;fluminense;16.44;8.6;fluminense;sport;3#8#0#0#1#2#0#0#0
ZAG;Luan;vasco;16.37;1;atlético-pr;vasco;7#17#0#0#1#1#0#0#0
ATA;Luis Fabiano;sãopaulo;16.32;-1.5;são paulo;grêmio;2#7#0#1#1#6#1#2#0
GOL;Oliveira;joinville;16.03;-1;joinville;corinthians;2#7#0#0#0#0#0#0#0
MEI;Michel Bastos;sãopaulo;16.03;9.5;são paulo;grêmio;0#12#0#0#0#4#2#1#0
MEI;Jadson;corinthians;15.78;-0.5;joinville;corinthians;5#20#1#0#4#3#0#1#0
MEI;Ganso;sãopaulo;15.71;4.3;são paulo;grêmio;8#13#1#0#1#3#0#0#0
